,0,1,2,3,4,5,6,7
10,"['19.31', '18.98', '31.30', '22.28', '15.03', '20.83', '75.68', '23.31', '23.76', '24.17', '23.90', '22.10', '20.40', 'PE Ratio']","['3.28', '3.10', '3.87', '4.01', '4.13', '3.81', '5.93', '6.47', '7.27', '7.53', '7.33', '7.14', '6.80', 'PB Ratio']","['11449.00', '10687.00', '15370.00', '12553.00', '9940.00', '11419.00', '12289.00', '14360.00', '15626.00', '13677.00', '13422.00', '15098.00', '16255.00', 'FCF']","['31543.00', '35417.00', '30345.00', '30598.00', '31592.00', '31286.00', '30092.00', '35611.00', '32838.00', '32293.00', '–', '–', '–', 'Total Debt']","['68709.00', '69976.00', '63050.00', '57983.00', '55778.00', '52293.00', '47194.00', '46521.00', '46378.00', '46589.00', '–', '–', '–', ""Sh' Equity""]","['8.15', '8.03', '4.95', '7.99', '12.18', '7.95', '3.11', '10.83', '11.70', '12.23', '12.30', '12.60', '13.60', 'ROA']","['16.97', '16.70', '10.36', '17.24', '26.99', '17.88', '7.45', '27.78', '30.80', '31.69', '31.30', '34.60', '36.00', 'ROE']","['Procter & Gamble', 'Procter & Gamble', 'Procter & Gamble', 'Procter & Gamble', 'Procter & Gamble', 'Procter & Gamble', 'Procter & Gamble', 'Procter & Gamble', 'Procter & Gamble', 'Procter & Gamble', 'Procter & Gamble', 'Procter & Gamble', 'Procter & Gamble', 'Procter & Gamble']"
11,"['11.17', '10.99', '36.57', '0.00', '26.14', '13.93', '77.75', '0.00', '14.40', '9.48', '10.40', '10.90', '–', 'PE Ratio']","['1.59', '1.35', '1.09', '1.50', '1.61', '1.33', '1.56', '1.19', '1.61', '2.08', '1.87', '1.76', '–', 'PB Ratio']","['(2983.00)', '(3932.00)', '(10048.00)', '(5419.00)', '6934.00', '16826.00', '13198.00', '1655.00', '21131.00', '37600.00', '30335.00', '27846.00', '–', 'FCF']","['20431.00', '27818.00', '38549.00', '46126.00', '38763.00', '34459.00', '26973.00', '44315.00', '31369.00', '–', '–', '–', '–', 'Total Debt']","['150427.00', '156191.00', '153886.00', '146722.00', '149319.00', '155642.00', '145208.00', '132726.00', '139940.00', '–', '–', '–', '–', ""Sh' Equity""]","['8.80', '7.40', '1.73', '(0.19)', '3.58', '5.84', '1.19', '(2.32)', '6.52', '29.61', '9.89', '9.09', '–', 'ROA']","['14.86', '12.55', '2.96', '(0.33)', '6.21', '9.72', '1.94', '(3.99)', '11.46', '0.00', '17.70', '15.80', '–', 'ROE']","['Chevron', 'Chevron', 'Chevron', 'Chevron', 'Chevron', 'Chevron', 'Chevron', 'Chevron', 'Chevron', 'Chevron', 'Chevron', 'Chevron', 'Chevron', 'Chevron']"
12,"['11.83', '30.94', '37.28', '28.91', '0.00', '36.97', '14.97', '24.83', '44.99', '52.90', '41.00', '29.00', '21.70', 'PE Ratio']","['3.12', '4.80', '6.13', '5.61', '7.64', '10.90', '45.34', '26.31', '27.40', '32.35', '22.47', '16.73', '11.59', 'PB Ratio']","['4878.20', '3002.80', '2401.00', '3887.40', '4538.80', '4313.90', '3802.70', '5111.70', '5950.90', '5230.10', '5747.00', '8520.00', '10880.00', 'FCF']","['4200.30', '5332.80', '7972.40', '10304.80', '13647.50', '10298.00', '15926.00', '16596.00', '16884.00', '14737.50', '–', '–', '–', 'Total Debt']","['17640.70', '15388.10', '14590.30', '14080.50', '11667.90', '9829.00', '2607.00', '5642.00', '8979.00', '10775.40', '–', '–', '–', ""Sh' Equity""]","['13.45', '6.68', '6.70', '7.36', '(0.49)', '7.09', '11.15', '14.42', '11.70', '12.71', '15.20', '21.40', '27.80', 'ROA']","['28.91', '14.48', '16.07', '19.10', '(1.59)', '29.32', '74.59', '150.18', '76.36', '63.23', '67.80', '76.00', '72.40', 'ROE']","['Eli Lilly', 'Eli Lilly', 'Eli Lilly', 'Eli Lilly', 'Eli Lilly', 'Eli Lilly', 'Eli Lilly', 'Eli Lilly', 'Eli Lilly', 'Eli Lilly', 'Eli Lilly', 'Eli Lilly', 'Eli Lilly', 'Eli Lilly']"
13,"['32.71', '13.22', '32.31', '28.28', '57.69', '31.43', '22.78', '28.18', '14.88', '19.46', '17.50', '13.90', '–', 'PE Ratio']","['2.70', '3.21', '3.17', '3.94', '4.24', '7.23', '8.56', '7.77', '5.06', '6.33', '5.39', '4.44', '–', 'PB Ratio']","['10106.00', '5672.00', '11255.00', '8762.00', '4563.00', '8307.00', '5515.00', '3188.00', '8674.00', '–', '18422.34', '20713.83', '–', 'FCF']","['20539.00', '18699.00', '23829.00', '24842.00', '24410.00', '25114.00', '26582.00', '32082.00', '33406.00', '–', '–', '–', '–', 'Total Debt']","['52326.00', '48791.00', '44767.00', '40308.00', '34569.00', '26882.00', '26001.00', '25404.00', '38257.00', '–', '–', '–', '–', ""Sh' Equity""]","['4.16', '11.70', '4.45', '3.98', '2.61', '7.30', '11.79', '8.03', '13.23', '27.47', '15.40', '17.20', '–', 'ROA']","['8.17', '23.58', '9.50', '9.22', '6.39', '20.24', '37.23', '27.50', '41.00', '0.00', '35.80', '36.20', '–', 'ROE']","['Merck', 'Merck', 'Merck', 'Merck', 'Merck', 'Merck', 'Merck', 'Merck', 'Merck', 'Merck', 'Merck', 'Merck', 'Merck', 'Merck']"
14,"['20.63', '60.04', '18.99', '17.19', '29.91', '25.75', '16.77', '37.47', '20.99', '24.57', '22.30', '21.80', '19.00', 'PE Ratio']","['18.68', '59.92', '24.40', '21.84', '30.81', '0.00', '0.00', '13.64', '15.53', '17.94', '15.05', '15.72', '13.95', 'PB Ratio']","['5776.00', '2937.00', '7003.00', '6562.00', '9431.00', '12789.00', '12772.00', '16790.00', '21990.00', '24248.00', '19929.00', '20340.00', '22853.00', 'FCF']","['14723.00', '14977.00', '31671.00', '36842.00', '37368.00', '40310.00', '66728.00', '86056.00', '76684.00', '63271.00', '–', '–', '–', 'Total Debt']","['4492.00', '1742.00', '3945.00', '4636.00', '5097.00', '(8446.00)', '(8172.00)', '13097.00', '15436.00', '17287.00', '–', '–', '–', ""Sh' Equity""]","['14.69', '6.26', '12.77', '9.99', '7.76', '8.74', '10.62', '3.85', '7.77', '8.30', '11.20', '11.90', '10.20', 'ROA']","['105.11', '56.91', '180.90', '138.75', '109.09', '(339.62)', '(94.86)', '187.45', '80.90', '72.34', '100.00', '90.60', '83.40', 'ROE']","['AbbVie', 'AbbVie', 'AbbVie', 'AbbVie', 'AbbVie', 'AbbVie', 'AbbVie', 'AbbVie', 'AbbVie', 'AbbVie', 'AbbVie', 'AbbVie', 'AbbVie', 'AbbVie']"
15,"['21.40', '26.39', '25.72', '27.87', '162.64', '31.57', '26.48', '30.47', '26.20', '28.61', '23.10', '21.60', '20.10', 'PE Ratio']","['5.48', '6.06', '7.26', '7.77', '10.25', '10.58', '11.22', '11.07', '10.28', '10.54', '9.57', '8.38', '7.31', 'PB Ratio']","['8103.00', '8432.00', '8060.00', '6680.00', '5399.00', '6327.00', '9395.00', '8856.00', '11366.00', '9609.00', '9939.00', '11239.00', '11840.00', 'FCF']","['20178.00', '22615.00', '30987.00', '33211.00', '34480.00', '30379.00', '31769.00', '40610.00', '39454.00', '36776.00', '–', '–', '–', 'Total Debt']","['33440.00', '30561.00', '25764.00', '23220.00', '18977.00', '19058.00', '21098.00', '21284.00', '24860.00', '25826.00', '–', '–', '–', ""Sh' Equity""]","['9.74', '7.80', '8.08', '7.36', '1.42', '7.52', '10.52', '8.92', '10.76', '10.20', '12.00', '12.80', '12.90', 'ROA']","['25.77', '22.18', '26.10', '26.65', '5.92', '33.83', '44.43', '36.56', '42.35', '37.65', '44.60', '46.60', '42.20', 'ROE']","['Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola', 'Coca-Cola']"
16,"['23.93', '25.92', '25.89', '30.24', '25.70', '32.61', '35.10', '38.42', '39.89', '39.46', '34.00', '30.80', '27.60', 'PE Ratio']","['4.43', '4.26', '5.68', '5.76', '6.20', '7.80', '8.24', '8.22', '11.16', '11.22', '8.95', '7.21', '6.14', 'PB Ratio']","['1354.00', '1991.00', '1892.00', '643.00', '4224.00', '2805.00', '3358.00', '6051.00', '5370.00', '3501.00', '6302.00', '6696.00', '7982.00', 'FCF']","['4998.00', '5093.00', '6135.00', '5161.00', '6666.00', '6577.00', '6823.00', '7609.00', '7491.00', '6557.00', '–', '–', '–', 'Total Debt']","['11012.00', '12515.00', '10843.00', '12332.00', '11079.00', '13103.00', '15584.00', '18705.00', '18078.00', '20647.00', '–', '–', '–', ""Sh' Equity""]","['7.10', '6.50', '7.20', '7.10', '7.71', '8.12', '8.49', '7.93', '8.72', '9.47', '9.26', '9.43', '9.54', 'ROA']","['17.33', '17.49', '20.35', '20.28', '22.89', '25.92', '25.51', '23.34', '27.22', '30.18', '28.10', '26.00', '24.00', 'ROE']","['Costco', 'Costco', 'Costco', 'Costco', 'Costco', 'Costco', 'Costco', 'Costco', 'Costco', 'Costco', 'Costco', 'Costco', 'Costco', 'Costco']"
17,"['31.45', '26.32', '28.66', '28.01', '34.16', '30.66', '35.16', '28.95', '34.03', '31.15', '29.90', '25.10', '–', 'PE Ratio']","['2.38', '2.43', '2.65', '2.63', '3.00', '3.26', '4.38', '5.34', '6.43', '4.91', '4.48', '4.21', '–', 'PB Ratio']","['1749.00', '2241.30', '2537.00', '2840.00', '3504.00', '3835.00', '4083.00', '6823.00', '6809.00', '6935.00', '6983.00', '9325.00', '–', 'FCF']","['9499.60', '12351.60', '11420.20', '16628.00', '21008.00', '18990.00', '17919.00', '21919.00', '35136.00', '34488.00', '–', '–', '–', 'Total Debt']","['16856.10', '20548.10', '21350.20', '21540.00', '25413.00', '27586.00', '29675.00', '34517.00', '40855.00', '44032.00', '–', '–', '–', ""Sh' Equity""]","['4.29', '5.07', '4.72', '4.66', '4.34', '5.20', '6.45', '10.01', '9.41', '7.22', '9.70', '10.50', '–', 'ROA']","['7.88', '10.13', '9.43', '9.43', '9.48', '11.09', '12.91', '19.86', '20.50', '16.37', '19.90', '21.80', '–', 'ROE']","['Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific', 'Thermo Fisher Scientific']"
18,"['17.45', '19.40', '24.56', '22.07', '27.24', '23.55', '25.08', '34.01', '26.70', '31.66', '25.20', '22.80', '–', 'PE Ratio']","['6.05', '7.15', '15.66', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '(27.99)', '(29.41)', '–', 'PB Ratio']","['4296.00', '4233.70', '4938.30', '4321.40', '3864.30', '4385.40', '5879.60', '4651.80', '7207.70', '5487.50', '7624.00', '8369.00', '–', 'FCF']","['14129.80', '14935.70', '24122.10', '25955.70', '29536.40', '31075.30', '34177.20', '37440.40', '36328.70', '35903.50', '–', '–', '–', 'Total Debt']","['16009.70', '12853.40', '7087.90', '(2204.30)', '(3268.00)', '(6258.40)', '(8210.30)', '(7824.90)', '(4601.00)', '(6003.40)', '–', '–', '–', ""Sh' Equity""]","['15.51', '13.43', '12.55', '13.59', '16.02', '17.79', '15.00', '9.45', '14.17', '11.85', '15.70', '16.60', '–', 'ROA']","['35.69', '32.97', '45.43', '191.93', '(189.77)', '(124.37)', '(83.28)', '(59.01)', '(121.44)', '(116.50)', '0.00', '180.00', '–', 'ROE']","['McDonald', 'McDonald', 'McDonald', 'McDonald', 'McDonald', 'McDonald', 'McDonald', 'McDonald', 'McDonald', 'McDonald', 'McDonald', 'McDonald', 'McDonald', 'McDonald']"
19,"['18.86', '20.66', '20.69', '16.15', '17.46', '13.84', '18.64', '0.00', '153.79', '54.53', '30.70', '21.20', '16.70', 'PE Ratio']","['2.39', '3.17', '3.56', '3.20', '3.48', '3.30', '2.30', '2.54', '3.30', '1.74', '1.83', '1.72', '1.60', 'PB Ratio']","['6656.00', '6469.00', '7120.00', '8363.00', '8720.00', '9830.00', '1108.00', '3594.00', '1988.00', '1059.00', '4373.00', '6899.00', '9468.00', 'FCF']","['14288.00', '14795.00', '17336.00', '20170.00', '25291.00', '20874.00', '46986.00', '58628.00', '54406.00', '48369.00', '–', '–', '–', 'Total Debt']","['48150.00', '48178.00', '48655.00', '47323.00', '45004.00', '52832.00', '93889.00', '88263.00', '93011.00', '98879.00', '–', '–', '–', ""Sh' Equity""]","['7.86', '9.07', '9.73', '10.42', '9.56', '12.96', '7.56', '(1.45)', '0.98', '1.54', '4.66', '5.47', '6.39', 'ROA']","['13.62', '15.57', '17.31', '19.57', '19.45', '25.75', '15.07', '(3.14)', '2.20', '3.28', '7.57', '9.32', '10.80', 'ROE']","['Walt Disney', 'Walt Disney', 'Walt Disney', 'Walt Disney', 'Walt Disney', 'Walt Disney', 'Walt Disney', 'Walt Disney', 'Walt Disney', 'Walt Disney', 'Walt Disney', 'Walt Disney', 'Walt Disney', 'Walt Disney']"
